median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
26000,2448,706,1004,0.5543301,0.1830065,0.4730392,0.1732026,0.2808765,1100,0.0872727,0.7336364,173,182
43000,10795,3180,4109,0.5242242,0.1866605,0.5163502,0.1302455,0.211487,4349,0.0551851,0.7919062,284,183
56000,1922,556,668,0.5031217,0.18210200000000001,0.5608741,0.0775234,0.1452096,717,0.0683403,0.8382148,378,184
18800,385,103,137,0.5272727,0.1636364,0.4961039,0.1272727,0.2335766,146,0.0616438,0.7328767,288,185
30800,969,229,311,0.5159959,0.2022704,0.4220846,0.1506708,0.2411576,389,0.2005141,0.7275064,171,186
44100,2208,658,776,0.522192,0.1897645,0.5366848,0.080163,0.1378866,825,0.0593939,0.8109091,333,187
32900,3266,897,1247,0.5422535,0.1935089,0.4654011,0.1717697,0.2630313,1311,0.0488177,0.7505721,189,188
18800,182,56,78,0.532967,0.1813187,0.4615385,0.2142857,0.2692308,88,0.1136364,0.6931818,192,189
31900,2906,829,1129,0.5309704,0.1813489,0.4803854,0.1820372,0.2497786,1218,0.0730706,0.6863711,203,190
67100,3918,1121,1311,0.4948954,0.1605411,0.5467075,0.0543645,0.1250953,1366,0.0402635,0.8609078,428,191
28000,1934,586,741,0.5144778,0.2011375,0.4994829,0.1509824,0.194332,783,0.0536398,0.7650064,192,192
39800,304,95,120,0.5098684,0.1513158,0.5394737,0.1644737,0.2,178,0.3258427,0.7078652,325,193
34100,587,140,181,0.528109,0.2572402,0.4344123,0.0936968,0.2099448,196,0.0765306,0.7704082,208,194
25600,794,198,283,0.5717884,0.256927,0.4332494,0.115869,0.2897527,326,0.1319018,0.6441718,195,195
16600,272,74,110,0.5367647,0.1433824,0.4595588,0.1985294,0.3272727,129,0.1472868,0.627907,99,196
40900,3739,1137,1383,0.5207275,0.1933672,0.5172506,0.1449585,0.1684743,1460,0.0527397,0.8671233,241,197
33200,602,177,229,0.5564784,0.2126246,0.4850498,0.1179402,0.2052402,246,0.0691057,0.7154472,188,198
31600,916,262,331,0.5054585,0.1954148,0.5447598,0.0862445,0.1903323,355,0.0676056,0.7774648,232,199
27600,4125,1108,1477,0.5132121,0.1990303,0.4829091,0.1323636,0.2261341,1602,0.0780275,0.7228464,278,200
72800,22922,5629,10193,0.549603,0.2119798,0.5180176,0.1381206,0.3852644,10731,0.0501351,0.6862361,397,201
88700,39788,11426,16064,0.5269177,0.166784,0.5751483,0.0984719,0.2456424,17038,0.0571663,0.747623,486,202
41000,15280,4542,5754,0.5210733,0.1745419,0.5168848,0.1535995,0.1936044,5970,0.0361809,0.8350084,344,203
58000,159789,42916,63058,0.5138839,0.1973415,0.5448623,0.1000194,0.2711948,67827,0.0703112,0.6802306,412,204
14999,707,188,283,0.5374823,0.1697313,0.437058,0.1768034,0.3286219,333,0.1501502,0.6516517,149,205
28500,671,205,275,0.5305514,0.1728763,0.5081967,0.1490313,0.2363636,302,0.089404,0.6953642,133,206
55300,9454,2685,3560,0.5236937,0.1468162,0.5554263,0.1061984,0.2151685,3742,0.0486371,0.8313736,529,208
32000,5819,1560,2064,0.5363465,0.1941914,0.4743083,0.1345592,0.2330426,2217,0.0690122,0.7618403,245,209
17100,789,220,281,0.5386565,0.2281369,0.47782,0.1432193,0.202847,310,0.0935484,0.6290323,230,210
43700,10283,2017,3618,0.5301955,0.4098998,0.3728484,0.1117378,0.3242123,3920,0.0770408,0.6040816,293,211
36700,13553,3741,5360,0.5432746,0.1633587,0.4884527,0.1908065,0.2875,5815,0.0782459,0.7234738,273,212
31600,1898,557,679,0.5205479,0.2139094,0.5031612,0.1148577,0.1634757,728,0.0673077,0.8200549,252,213
27900,230,74,97,0.5478261,0.1434783,0.4608696,0.2478261,0.2268041,107,0.0934579,0.7196262,143,214
19100,523,151,214,0.543021,0.1778203,0.4684512,0.1759082,0.2850467,231,0.0735931,0.7142857,152,215
36000,1047,318,386,0.5119389,0.1872015,0.5004776,0.1375358,0.1683938,410,0.0585366,0.8146341,283,216
35500,1096,325,400,0.5209854,0.1806569,0.5127737,0.1359489,0.1725,424,0.0566038,0.7806604,277,217
31200,1679,475,602,0.5199524,0.2013103,0.5002978,0.0726623,0.1893688,630,0.0444444,0.7412698,225,218
20900,595,172,255,0.5142857,0.1495798,0.4840336,0.210084,0.3137255,285,0.1052632,0.6912281,176,219
42600,2905,833,1058,0.5025818,0.1900172,0.5380379,0.0760757,0.1776938,1152,0.0815972,0.6762153,275,220
24200,3151,774,1112,0.5531577,0.185338,0.4319264,0.201206,0.2823741,1236,0.1003236,0.6812298,192,221
28100,166,48,61,0.4939759,0.2228916,0.5240964,0.126506,0.1967213,66,0.0757576,0.8030303,475,222
39200,9946,2849,3846,0.5265433,0.1793686,0.5177961,0.1231651,0.2389496,4120,0.0665049,0.7048544,281,223
50400,218,71,93,0.5229358,0.1605505,0.5642202,0.1834862,0.2150538,114,0.1842105,0.7105263,275,224
22000,988,261,358,0.5698381,0.2105263,0.4402834,0.1568826,0.2597765,396,0.0959596,0.7121212,214,225
35000,89,26,34,0.4719101,0.2808989,0.4719101,0.1348315,0.2058824,35,0.0285714,0.8285714,125,226
43500,1473,415,532,0.4928717,0.1968771,0.5349627,0.0522743,0.1729323,608,0.125,0.6677632,325,227
33400,821,250,331,0.5310597,0.1644336,0.4835566,0.2082826,0.2416918,355,0.0676056,0.8140845,236,228
25600,133,41,55,0.518797,0.2255639,0.5112782,0.1353383,0.2545455,60,0.0833333,0.7333333,200,229
35200,2941,841,1063,0.5219313,0.2135328,0.5086705,0.1203672,0.1937912,1335,0.2037453,0.7393258,238,230
24100,2394,653,887,0.5513784,0.1808688,0.4385965,0.216792,0.2547914,983,0.0976602,0.7385554,182,231
25600,2892,772,1059,0.5273167,0.1825726,0.4937759,0.1324343,0.2549575,1245,0.1493976,0.713253,257,232
